shot_id_number,is_goal
1,0.37109247
8,0.549645101
17,0.461964527
20,0.58303155
22,0.477773752
33,0.340903417
34,0.414867285
35,0.512316012
36,0.505687878
37,0.610206594
38,0.549720013
45,0.442115937
50,0.369782929
55,0.278713457
60,0.289830894
62,0.408332883
66,0.419577789
67,0.322009276
71,0.399503793
72,0.384653909
76,0.40887213
80,0.358336401
85,0.422858032
86,0.431069159
87,0.44081189
92,0.392491228
95,0.526581947
97,0.40586584
104,0.436817422
113,0.424242147
122,0.865795108
123,0.507935453
126,0.437605241
133,0.661368097
134,0.344090769
141,0.389396441
144,0.389035458
150,0.556536104
152,0.480813864
153,0.570212176
156,0.463639084
159,0.710798555
165,0.628789948
172,0.387090819
182,0.843906003
192,0.370348795
193,0.515784928
196,0.390657531
202,0.373548282
205,0.374337907
210,0.312236995
211,0.447574501
228,0.808794221
250,0.75366736
257,0.414117687
260,0.422298278
262,0.375723849
264,0.445945746
267,0.387536707
279,0.859389033
282,0.373864708
293,0.364952105
299,0.645138867
300,0.446556451
301,0.367939941
317,0.346275992
327,0.403494857
328,0.385282663
335,0.448236149
346,0.648289235
348,0.466497006
360,0.29762916
365,0.486368173
379,0.325168144
382,0.456582098
390,0.638953802
391,0.569734711
392,0.423911846
397,0.414901245
417,0.405025818
418,0.437572989
420,0.375347638
428,0.295164238
429,0.406458961
434,0.408855374
439,0.807859373
440,0.367202408
451,0.371871
456,0.448356427
459,0.371709624
472,0.426733438
480,0.485638341
491,0.295581255
497,0.488311901
509,0.391393375
511,0.455526155
523,0.312612763
533,0.412724878
544,0.426666183
546,0.332107899
552,0.390984634
555,0.6483385
558,0.239634901
560,0.375925605
568,0.470743488
571,0.608885144
573,0.369104185
576,0.886097584
578,0.708340557
591,0.465157424
596,0.461662442
597,0.468827975
601,0.509772214
605,0.514994383
617,0.411125664
625,0.377849995
628,0.31971061
634,0.42921722
646,0.368027539
649,0.430769178
651,0.65116659
654,0.809805323
656,0.484342698
657,0.509375275
661,0.838056552
669,0.435958289
670,0.869564211
680,0.561989043
693,0.500204726
694,0.45780116
699,0.452069579
711,0.395266443
715,0.384263654
718,0.401949727
722,0.354560947
723,0.315182003
725,0.52180377
734,0.433247294
735,0.480011635
737,0.409687054
746,0.437377013
747,0.532706299
764,0.378581462
766,0.348261842
767,0.344565249
771,0.367983225
773,0.417831673
774,0.428941237
783,0.366791073
784,0.398116497
789,0.34101846
792,0.438071935
804,0.369060158
809,0.411828874
812,0.4287134
813,0.357843073
817,0.395398597
818,0.365276892
820,0.414452947
825,0.422774559
826,0.414623175
829,0.30553786
833,0.426870816
855,0.362591127
859,0.579642989
862,0.348180331
870,0.392989131
876,0.335760077
880,0.439127812
886,0.924479957
889,0.678920945
891,0.436700381
897,0.857540711
902,0.279725866
903,0.447493297
908,0.345116699
909,0.403151914
920,0.332599008
922,0.444606357
924,0.427034061
932,0.440587972
934,0.328100045
937,0.375534774
938,0.560872846
941,0.45451822
943,0.389491092
947,0.448588081
950,0.394321532
952,0.431477978
954,0.810368311
962,0.566436243
963,0.502501296
975,0.404924169
979,0.419456359
981,0.464447737
983,0.23555252
985,0.672461244
989,0.450096989
995,0.420672996
998,0.385830659
1008,0.428965489
1019,0.632052375
1023,0.413448866
1026,0.364169533
1029,0.477221038
1034,0.412435088
1036,0.491034389
1038,0.364222871
1039,0.371476205
1044,0.42861387
1049,0.530438568
1051,0.534364117
1052,0.416425002
1062,0.906857301
1064,0.477763669
1066,0.386938905
1087,0.418315885
1092,0.266291598
1094,0.645529106
1098,0.462522724
1099,0.413866499
1102,0.32151146
1103,0.384769198
1118,0.382903699
1131,0.418233406
1133,0.609571844
1135,0.855471548
1138,0.418742841
1139,0.789169095
1141,0.599978848
1142,0.345280096
1151,0.365907673
1152,0.371630971
1155,0.522289123
1157,0.538114276
1165,0.358739554
1167,0.786737401
1172,0.538414119
1174,0.639467469
1178,0.461655251
1180,0.391607934
1200,0.466168897
1202,0.449706795
1209,0.354140255
1227,0.508020809
1228,0.661225766
1229,0.366772728
1237,0.700772124
1241,0.493221927
1248,0.43043934
1256,0.44595672
1277,0.312780824
1279,0.406184868
1288,0.586571839
1290,0.395548658
1293,0.394941917
1295,0.46216289
1308,0.381258002
1315,0.648790448
1319,0.640290792
1320,0.409093045
1321,0.422384329
1322,0.426061168
1331,0.412857966
1334,0.319306988
1343,0.385887781
1348,0.641166743
1349,0.422529334
1351,0.63042259
1373,0.375477002
1375,0.415950454
1380,0.614860407
1382,0.656092935
1385,0.552394902
1387,0.319355847
1394,0.400769249
1399,0.477824009
1403,0.861435324
1409,0.399952104
1413,0.410380147
1425,0.768646074
1428,0.351116485
1434,0.352742876
1444,0.889465243
1448,0.328152676
1461,0.432158223
1466,0.39465874
1476,0.400133349
1478,0.439399848
1485,0.440075951
1491,0.557911284
1494,0.473171662
1495,0.594467987
1500,0.554097992
1501,0.474953304
1503,0.405262815
1507,0.553791797
1511,0.539005044
1519,0.625560121
1524,0.404749628
1528,0.591197444
1529,0.618794827
1533,0.609367627
1538,0.85550869
1539,0.450331127
1545,0.454592172
1546,0.447639861
1550,0.411807749
1555,0.408376811
1556,0.41049999
1558,0.883307285
1559,0.550755425
1561,0.392738865
1563,0.422160493
1565,0.640866693
1574,0.417202912
1581,0.625568242
1583,0.534614261
1591,0.418921659
1594,0.462897861
1605,0.407549989
1611,0.474348642
1614,0.418526031
1617,0.426519321
1620,0.465622756
1626,0.419509754
1628,0.385830991
1630,0.450835112
1632,0.356814474
1634,0.40937406
1643,0.418879733
1651,0.43771336
1654,0.385097395
1655,0.384092537
1658,0.354658047
1659,0.434962191
1665,0.340007139
1675,0.458243894
1680,0.876323191
1690,0.472204799
1696,0.384280537
1714,0.384711027
1718,0.656335088
1721,0.456147413
1726,0.499765579
1728,0.434245674
1734,0.361567879
1735,0.387667169
1740,0.447447345
1744,0.642748572
1747,0.435571909
1752,0.309613645
1763,0.613046496
1764,0.377015138
1765,0.612567783
1769,0.422650753
1770,0.891395042
1785,0.539230274
1787,0.393393514
1788,0.63324883
1793,0.332049601
1794,0.566319427
1800,0.419693272
1812,0.440591086
1825,0.365965855
1826,0.656881526
1834,0.399748302
1843,0.388629439
1844,0.381795336
1848,0.370149627
1849,0.407508804
1860,0.399088507
1863,0.6044496
1875,0.403211586
1883,0.397617315
1890,0.38961274
1892,0.388883584
1893,0.433223531
1897,0.419761252
1905,0.402052308
1908,0.467045461
1931,0.495674775
1940,0.899421676
1943,0.39792862
1947,0.227120382
1965,0.461525683
1967,0.439537995
1968,0.470237236
1972,0.811709355
1982,0.389600159
1985,0.426726354
2005,0.401250042
2010,0.654751012
2021,0.411802764
2024,0.37352819
2027,0.207998585
2028,0.507053071
2035,0.355306402
2036,0.458135801
2043,0.482291934
2047,0.383833758
2049,0.337149915
2055,0.422654116
2065,0.455895317
2066,0.355943938
2070,0.492064907
2077,0.907747213
2081,0.481425822
2085,0.6404225
2089,0.593115805
2095,0.500137347
2097,0.64658802
2100,0.446791596
2108,0.358763919
2112,0.561494512
2113,0.539964039
2120,0.374286769
2121,0.365575236
2122,0.285162907
2139,0.388316847
2141,0.361968217
2144,0.477820583
2146,0.366084159
2148,0.200988012
2149,0.620422124
2157,0.368626726
2158,0.355016755
2159,0.364826869
2168,0.437340332
2176,0.635097778
2178,0.655313836
2181,0.369601034
2184,0.362112171
2187,0.388085393
2188,0.409501792
2190,0.342397363
2193,0.888063683
2194,0.585519357
2197,0.354634267
2202,0.549051913
2204,0.569284696
2211,0.387138919
2214,0.385844115
2215,0.595846897
2217,0.305258897
2222,0.425863305
2223,0.42692187
2226,0.374105652
2230,0.681736931
2233,0.453534545
2240,0.453794098
2246,0.234213697
2247,0.369049775
2250,0.383662729
2254,0.438188658
2257,0.878238785
2259,0.447440605
2262,0.383354032
2263,0.370679749
2266,0.31816029
2305,0.350400457
2310,0.347728277
2313,0.421298815
2319,0.39822862
2320,0.516092036
2341,0.430167638
2345,0.352613919
2350,0.728405129
2356,0.396439506
2360,0.460926638
2370,0.353593206
2374,0.568744844
2384,0.492426516
2386,0.392993717
2397,0.57158593
2398,0.290493072
2411,0.364333947
2414,0.566506807
2435,0.610826803
2439,0.460371695
2446,0.610660526
2458,0.391495843
2465,0.350497353
2466,0.435956977
2470,0.358182763
2490,0.478177959
2495,0.636592991
2501,0.436060172
2507,0.413058842
2533,0.229661301
2537,0.488414724
2538,0.388558729
2541,0.353186087
2542,0.584630722
2544,0.412229083
2554,0.397648954
2555,0.39662502
2565,0.580629529
2572,0.641142256
2573,0.425415953
2575,0.636890529
2586,0.420679501
2588,0.415383274
2594,0.666206397
2617,0.428290514
2618,0.551125197
2620,0.499995578
2623,0.875506313
2631,0.789268481
2640,0.344344228
2642,0.784262823
2647,0.630061557
2663,0.406138366
2664,0.508214426
2676,0.399819144
2680,0.907767889
2681,0.44300232
2690,0.372390687
2691,0.413831012
2693,0.478101844
2695,0.44118908
2704,0.345132512
2708,0.334574796
2709,0.770308224
2717,0.607858028
2718,0.400376283
2722,0.414767675
2728,0.416255221
2732,0.582676187
2743,0.602507723
2745,0.889795628
2752,0.355022991
2756,0.392170086
2757,0.567067691
2761,0.39977263
2769,0.369724504
2771,0.588637272
2773,0.499001143
2774,0.38038423
2776,0.403990236
2781,0.488122869
2793,0.386711607
2799,0.404777808
2800,0.405604413
2803,0.379590771
2811,0.523540633
2818,0.433970581
2824,0.546501439
2828,0.649701076
2829,0.414595233
2830,0.482819393
2842,0.586553361
2847,0.648130919
2848,0.348498839
2868,0.407400907
2870,0.346293634
2885,0.405994459
2886,0.384497348
2889,0.446168735
2902,0.652789292
2903,0.449471468
2904,0.572047336
2918,0.613021524
2919,0.37063799
2922,0.411748136
2923,0.428310672
2931,0.421780529
2945,0.367524065
2946,0.368403235
2955,0.402436777
2957,0.65406243
2960,0.635556804
2963,0.359157405
2966,0.866298323
2972,0.317084669
2973,0.415682316
2974,0.466157784
2981,0.668488286
2982,0.376223519
2984,0.642785252
2998,0.347104377
3016,0.388486833
3021,0.391082875
3023,0.775665606
3025,0.509272709
3026,0.608620326
3029,0.433374473
3034,0.56552859
3037,0.398543226
3038,0.450585936
3040,0.405224015
3051,0.339128355
3062,0.386556468
3069,0.417465099
3071,0.410652612
3076,0.913753918
3079,0.396684544
3081,0.36495503
3082,0.500894728
3084,0.40442908
3091,0.337194765
3095,0.755027547
3098,0.367269341
3104,0.364554212
3105,0.479360501
3108,0.430889555
3114,0.622445232
3118,0.418957518
3122,0.467779767
3123,0.419034632
3132,0.370074077
3138,0.459053027
3141,0.655290438
3156,0.70912584
3162,0.667264824
3167,0.366096093
3170,0.397214925
3171,0.41290981
3172,0.474703147
3176,0.919868722
